Visitor,TS_Design_Selected,TS_Design_Name,TS_Reward,TS_Regret,TS_Cumul_Reward,Random_Design_Selected,Random_Reward,Random_Regret,Random_Cumul_Reward
121,4,Free shipping + money-back,1,0.0,47,2,1,0.25000000000000006,38
122,4,Free shipping + money-back,1,0.0,48,3,0,0.10000000000000003,38
123,4,Free shipping + money-back,0,0.0,48,1,1,0.20000000000000007,39
124,1,Urgency — 'Only 12 left!',1,0.20000000000000007,49,4,0,0.0,39
125,4,Free shipping + money-back,0,0.0,49,2,1,0.25000000000000006,40
126,4,Free shipping + money-back,0,0.0,49,2,0,0.25000000000000006,40
127,4,Free shipping + money-back,0,0.0,49,4,0,0.0,40
128,4,Free shipping + money-back,0,0.0,49,3,0,0.10000000000000003,40
129,4,Free shipping + money-back,1,0.0,50,2,1,0.25000000000000006,41
130,1,Urgency — 'Only 12 left!',0,0.20000000000000007,50,0,0,0.35000000000000003,41
131,4,Free shipping + money-back,1,0.0,51,1,1,0.20000000000000007,42
132,4,Free shipping + money-back,1,0.0,52,4,1,0.0,43
133,4,Free shipping + money-back,0,0.0,52,2,0,0.25000000000000006,43
134,4,Free shipping + money-back,0,0.0,52,1,0,0.20000000000000007,43
135,4,Free shipping + money-back,0,0.0,52,4,0,0.0,43
136,4,Free shipping + money-back,1,0.0,53,4,1,0.0,44
137,4,Free shipping + money-back,0,0.0,53,4,0,0.0,44
138,2,"Social proof — 4,200 reviews",1,0.25000000000000006,54,3,1,0.10000000000000003,45
139,1,Urgency — 'Only 12 left!',0,0.20000000000000007,54,0,0,0.35000000000000003,45
140,4,Free shipping + money-back,0,0.0,54,4,0,0.0,45
141,4,Free shipping + money-back,1,0.0,55,3,0,0.10000000000000003,45
142,4,Free shipping + money-back,1,0.0,56,4,1,0.0,46
143,4,Free shipping + money-back,1,0.0,57,4,1,0.0,47
144,4,Free shipping + money-back,0,0.0,57,3,0,0.10000000000000003,47
145,2,"Social proof — 4,200 reviews",0,0.25000000000000006,57,0,0,0.35000000000000003,47
146,2,"Social proof — 4,200 reviews",1,0.25000000000000006,58,1,1,0.20000000000000007,48
147,4,Free shipping + money-back,1,0.0,59,2,0,0.25000000000000006,48
